Process information:
    PID TTY          TIME CMD
      1 ?        00:00:58 systemd
      2 ?        00:00:00 kthreadd
      3 ?        00:00:00 pool_workqueue_release
      4 ?        00:00:00 kworker/R-rcu_gp
      5 ?        00:00:00 kworker/R-sync_wq
      6 ?        00:00:00 kworker/R-kvfree_rcu_reclaim
      7 ?        00:00:00 kworker/R-slub_flushwq
      8 ?        00:00:00 kworker/R-netns
     10 ?        00:00:00 kworker/0:0H-kblockd
     13 ?        00:00:00 kworker/R-mm_percpu_wq
     14 ?        00:00:00 ksoftirqd/0
     15 ?        00:00:17 rcu_preempt
     16 ?        00:00:00 rcu_exp_par_gp_kthread_worker/0
     17 ?        00:00:00 rcu_exp_gp_kthread_worker
     18 ?        00:00:00 migration/0
     19 ?        00:00:00 kprobe-optimizer
     20 ?        00:00:00 idle_inject/0
     21 ?        00:00:00 cpuhp/0
     22 ?        00:00:00 cpuhp/2
     23 ?        00:00:00 idle_inject/2
     24 ?        00:00:00 migration/2
     25 ?        00:00:00 ksoftirqd/2
     27 ?        00:00:00 kworker/2:0H-kblockd
     28 ?        00:00:00 cpuhp/4
     29 ?        00:00:00 idle_inject/4
     30 ?        00:00:04 migration/4
     31 ?        00:00:00 ksoftirqd/4
     33 ?        00:00:00 kworker/4:0H-kblockd
     34 ?        00:00:00 cpuhp/5
     35 ?        00:00:00 idle_inject/5
     36 ?        00:00:02 migration/5
     37 ?        00:00:00 ksoftirqd/5
     39 ?        00:00:00 kworker/5:0H-kblockd
     40 ?        00:00:00 cpuhp/6
     41 ?        00:00:00 idle_inject/6
     42 ?        00:00:01 migration/6
     43 ?        00:00:00 ksoftirqd/6
     45 ?        00:00:00 kworker/6:0H-kblockd
     46 ?        00:00:00 cpuhp/7
     47 ?        00:00:00 idle_inject/7
     48 ?        00:00:01 migration/7
     49 ?        00:00:00 ksoftirqd/7
     51 ?        00:00:00 kworker/7:0H-kblockd
     52 ?        00:00:00 cpuhp/8
     53 ?        00:00:00 idle_inject/8
     54 ?        00:00:01 migration/8
     55 ?        00:00:00 ksoftirqd/8
     57 ?        00:00:00 kworker/8:0H-kblockd
     58 ?        00:00:00 cpuhp/9
     59 ?        00:00:00 idle_inject/9
     60 ?        00:00:01 migration/9
     61 ?        00:00:00 ksoftirqd/9
     63 ?        00:00:00 kworker/9:0H-kblockd
     64 ?        00:00:00 cpuhp/10
     65 ?        00:00:00 idle_inject/10
     66 ?        00:00:01 migration/10
     67 ?        00:00:00 ksoftirqd/10
     69 ?        00:00:00 kworker/10:0H-kblockd
     70 ?        00:00:00 cpuhp/11
     71 ?        00:00:00 idle_inject/11
     72 ?        00:00:00 migration/11
     73 ?        00:00:00 ksoftirqd/11
     75 ?        00:00:00 kworker/11:0H-kblockd
     76 ?        00:00:00 cpuhp/1
